issue_id,run_id,url,severity,issue_code,title,description,evidence_json,issue_provenance,technical_seo_gate,verification_status,confidence_score,certainty_state,priority_score,page_importance,reach,urgency,affected_count,affected_ratio,template_cluster,affected_page_types
10,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
14,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
17,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
21,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/smbs,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
24,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/smbs,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
34,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/foundation-repair,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
37,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/foundation-repair,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
41,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/hvac,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
44,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/hvac,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
54,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/plumbers,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
