media_asset_id,run_id,url,asset_type,asset_url,discoverability_score,metadata_json
17,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/recruiting,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
18,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/site-speed,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
21,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/smb-guide,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
22,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-cost-stack,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
23,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-market-2026,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
26,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-seo,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
27,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/video-strategy,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
28,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/lawyers,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
31,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/med-spas,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
32,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/orthodontists,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
33,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,image,https://void-agency.com/og-image.jpg,15,"{""alt"": """", ""alt_quality"": ""missing"", ""candidate_urls"": [], ""decoding"": """", ""figure_caption"": """", ""figure_title"": """", ""filename_quality"": ""generic"", ""format"": ""jpg"", ""format_supported"": 1, ""from_og_image"": 1, ""from_schema_image"": 0, ""height"": null, ""hero_candidate"": 0, ""lazy_loaded"": 0, ""loading"": """", ""nearby_heading"": """", ""nearby_text"": """", ""normalized_src"": ""https://void-agency.com/og-image.jpg"", ""reused_asset_count"": 1, ""source_tag"": ""og:image"", ""src"": ""https://void-agency.com/og-image.jpg"", ""width"": null}"
