session_id,run_id,url,used_render,wait_profile,interaction_count,action_recipe,failure_family,console_errors_json,console_warnings_json,network_endpoints_json
2,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
32,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
33,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
34,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/foundation-repair,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
35,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/hvac,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
36,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
37,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/builder-incentives,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
38,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/case-study,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
39,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/data-maturity,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
40,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/map-pack-playbook,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
41,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/recruiting,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
42,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/site-speed,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
43,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/smb-guide,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
44,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-cost-stack,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
45,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-market-2026,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
46,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-seo,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
