snapshot_id,run_id,url,content_hash,last_modified,status_code,changed_flag,observed_at
33,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.055433+00:00
36,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/privacy,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.058940+00:00
37,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml,,"Wed, 15 Apr 2026 18:50:03 GMT",200,0,2026-04-19T19:25:32.060027+00:00
38,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml.gz,,,404,0,2026-04-19T19:25:32.060871+00:00
41,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap_index.xml,,,404,0,2026-04-19T19:25:32.064030+00:00
42,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/smbs,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.064883+00:00
43,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/terms,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.066026+00:00
46,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/vets,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.069436+00:00
39,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:04 GMT",200,1,2026-04-19T19:25:32.061732+00:00
25,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/auto-body,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.045679+00:00
