crux_id,run_id,url,query_scope,status,source,origin_fallback_used,lcp_p75,cls_p75,inp_p75,fcp_p75,ttfb_p75,payload_json,error_message
1,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/builder-incentives,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
4,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/case-study,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
5,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/data-maturity,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/map-pack-playbook,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
14,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/recruiting,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/site-speed,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/smb-guide,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/texas-cost-stack,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/texas-market-2026,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
18,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/texas-seo,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
19,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/video-strategy,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
2,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
20,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/builder-incentives,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/case-study,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
9,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/data-maturity,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
10,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/smb-guide,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=SMB,origin,no_data,crux,1,,,,,,{},"no CrUX record (retries=0, waited=0.00s)"
