fetch_id,run_id,url,status_code,fetch_time_ms,content_type,response_bytes,fetched_at
5,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights,200,27,text/html; charset=utf-8,6097,2026-04-20T00:33:53.836531+00:00
49,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/builder-incentives,200,34,text/html; charset=utf-8,6097,2026-04-20T00:35:26.090873+00:00
34,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/case-study,200,29,text/html; charset=utf-8,6097,2026-04-20T00:34:57.934811+00:00
35,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/data-maturity,200,24,text/html; charset=utf-8,6097,2026-04-20T00:34:59.695864+00:00
45,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/map-pack-playbook,200,27,text/html; charset=utf-8,6097,2026-04-20T00:35:18.148126+00:00
53,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/recruiting,200,24,text/html; charset=utf-8,6097,2026-04-20T00:35:33.358569+00:00
47,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/site-speed,200,27,text/html; charset=utf-8,6097,2026-04-20T00:35:22.533982+00:00
30,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/smb-guide,200,25,text/html; charset=utf-8,6097,2026-04-20T00:34:48.755183+00:00
50,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-cost-stack,200,24,text/html; charset=utf-8,6097,2026-04-20T00:35:27.933197+00:00
51,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-market-2026,200,26,text/html; charset=utf-8,6097,2026-04-20T00:35:29.708104+00:00
52,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-seo,200,26,text/html; charset=utf-8,6097,2026-04-20T00:35:31.577914+00:00
54,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/video-strategy,200,24,text/html; charset=utf-8,6097,2026-04-20T00:35:35.140933+00:00
57,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Growth,200,26,text/html; charset=utf-8,6097,2026-04-20T00:35:40.513439+00:00
55,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Local+SEO,200,25,text/html; charset=utf-8,6097,2026-04-20T00:35:36.994106+00:00
56,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Performance,200,25,text/html; charset=utf-8,6097,2026-04-20T00:35:38.763784+00:00
58,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Real+Estate,200,25,text/html; charset=utf-8,6097,2026-04-20T00:35:42.277478+00:00
48,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=SMB,200,23,text/html; charset=utf-8,6097,2026-04-20T00:35:24.319942+00:00
19,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/lawyers,200,24,text/html; charset=utf-8,6097,2026-04-20T00:34:24.277085+00:00
24,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/med-spas,200,26,text/html; charset=utf-8,6097,2026-04-20T00:34:35.290634+00:00
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/orthodontists,200,24,text/html; charset=utf-8,6097,2026-04-20T00:34:15.900154+00:00
9,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/plumbers,200,24,text/html; charset=utf-8,6097,2026-04-20T00:34:02.231970+00:00
40,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/privacy,200,56,text/html; charset=utf-8,6097,2026-04-20T00:35:08.652280+00:00
4,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/smbs,200,26,text/html; charset=utf-8,6097,2026-04-20T00:33:50.699268+00:00
44,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/terms,200,29,text/html; charset=utf-8,6097,2026-04-20T00:35:16.396461+00:00
29,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/vets,200,26,text/html; charset=utf-8,6097,2026-04-20T00:34:46.152827+00:00
