session_id,run_id,url,used_render,wait_profile,interaction_count,action_recipe,failure_family,console_errors_json,console_warnings_json,network_endpoints_json
45,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/texas-market-2026,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
46,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/texas-seo,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
47,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/video-strategy,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
48,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/lawyers,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
49,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/med-spas,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
50,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/orthodontists,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
51,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/plumbers,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
52,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/privacy,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
53,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/smbs,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
54,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/terms,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
55,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/vets,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
1,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/auto-body,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
4,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/dentists,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
5,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/foundation-repair,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/hvac,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
