issue_id,run_id,url,severity,issue_code,title,description,evidence_json,issue_provenance,technical_seo_gate,verification_status,confidence_score,certainty_state,priority_score,page_importance,reach,urgency,affected_count,affected_ratio,template_cluster,affected_page_types
2,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,high,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
222,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,high,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
226,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,high,HREFLANG_RECIPROCITY_MISSING,Hreflang reciprocity missing,One or more hreflang target pages do not point back to this URL.,"{""missing_reciprocal_targets"": [""https://void-agency.com/""]}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,54,0.9818,content-template,"article,homepage,legal,other"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,medium,CANONICAL_SELF_MISMATCH,Canonical self mismatch,Effective canonical does not self-match the final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,38,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
220,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml.gz,high,REDIRECT_TO_ERROR,Redirect ends in error,"A redirect path resolves to an error status, which breaks access to the intended URL.","{""hops"": 1, ""status_code"": 404, ""chain"": [""https://void-agency.com/sitemap.xml.gz"", ""https://www.void-agency.com/sitemap.xml.gz""]}",both,access,automated,95,Verified,38,1.0,single_page,1.35,2,0.0364,,other
223,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,medium,CANONICAL_SELF_MISMATCH,Canonical self mismatch,Effective canonical does not self-match the final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,38,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
235,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap_index.xml,high,REDIRECT_TO_ERROR,Redirect ends in error,"A redirect path resolves to an error status, which breaks access to the intended URL.","{""hops"": 1, ""status_code"": 404, ""chain"": [""https://void-agency.com/sitemap_index.xml"", ""https://www.void-agency.com/sitemap_index.xml""]}",both,access,automated,95,Verified,38,1.0,single_page,1.35,2,0.0364,,other
4,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,medium,MULTIPLE_CANONICAL_TAGS,Multiple canonical tags,Multiple canonical tags were found in the active evidence layer. Keep exactly one canonical per page.,"{""canonical_count"": 2, ""canonical_urls"": [""https://void-agency.com/smbs""], ""canonical_source"": ""resolver:rendered_single""}",both,canonicalization,automated,95,Verified,34,1.4,template_cluster,1.2,4,0.0727,,"homepage,other"
5,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,medium,DUPLICATE_CANONICAL_TAGS,Duplicate canonical tags,Multiple canonical tags were found on the page. Keep exactly one canonical per page.,"{""canonical_count"": 2, ""canonical_urls"": [""https://void-agency.com/smbs""], ""canonical_source"": ""resolver:rendered_single""}",both,canonicalization,automated,95,Verified,34,1.4,template_cluster,1.2,4,0.0727,,"homepage,other"
224,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,medium,MULTIPLE_CANONICAL_TAGS,Multiple canonical tags,Multiple canonical tags were found in the active evidence layer. Keep exactly one canonical per page.,"{""canonical_count"": 2, ""canonical_urls"": [""https://void-agency.com/smbs""], ""canonical_source"": ""resolver:rendered_single""}",both,canonicalization,automated,95,Verified,34,1.4,template_cluster,1.2,4,0.0727,,"homepage,other"
225,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/,medium,DUPLICATE_CANONICAL_TAGS,Duplicate canonical tags,Multiple canonical tags were found on the page. Keep exactly one canonical per page.,"{""canonical_count"": 2, ""canonical_urls"": [""https://void-agency.com/smbs""], ""canonical_source"": ""resolver:rendered_single""}",both,canonicalization,automated,95,Verified,34,1.4,template_cluster,1.2,4,0.0727,,"homepage,other"
342,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,medium,CLUSTER_CANONICAL_COLLISION,Canonical cluster collision,Multiple final URLs map into the same canonical cluster key and may indicate cluster-level canonical collisions.,"{""canonical_cluster_key"": ""https://void-agency.com/smbs"", ""member_count"": 55, ""unique_final_urls"": 30, ""sample_final_urls"": [""https://www.void-agency.com/"", ""https://www.void-agency.com/auto-body"", ""https://www.void-agency.com/dentists"", ""https://www.void-agency.com/foundation-repair"", ""https://www.void-agency.com/hvac"", ""https://www.void-agency.com/insights"", ""https://www.void-agency.com/insights/builder-incentives"", ""https://www.void-agency.com/insights/case-study"", ""https://www.void-agency.com/insights/data-maturity"", ""https://www.void-agency.com/insights/map-pack-playbook"", ""https://www.void-agency.com/insights/recruiting"", ""https://www.void-agency.com/insights/site-speed""]}",both,canonicalization,automated,95,Verified,28,1.4,single_page,1.2,1,0.0182,,homepage
9,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/auto-body,medium,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/auto-body""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
10,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/auto-body,medium,CANONICAL_SELF_MISMATCH,Canonical self mismatch,Effective canonical does not self-match the final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/auto-body""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/auto-body,medium,HREFLANG_RECIPROCITY_MISSING,Hreflang reciprocity missing,One or more hreflang target pages do not point back to this URL.,"{""missing_reciprocal_targets"": [""https://void-agency.com/""]}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,54,0.9818,content-template,"article,homepage,legal,other"
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/dentists,medium,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/dentists""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/dentists,medium,CANONICAL_SELF_MISMATCH,Canonical self mismatch,Effective canonical does not self-match the final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/dentists""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/dentists,medium,HREFLANG_RECIPROCITY_MISSING,Hreflang reciprocity missing,One or more hreflang target pages do not point back to this URL.,"{""missing_reciprocal_targets"": [""https://void-agency.com/""]}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,54,0.9818,content-template,"article,homepage,legal,other"
21,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/smbs,medium,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/smbs""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
22,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/smbs,medium,CANONICAL_SELF_MISMATCH,Canonical self mismatch,Effective canonical does not self-match the final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/smbs""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
25,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/smbs,medium,HREFLANG_RECIPROCITY_MISSING,Hreflang reciprocity missing,One or more hreflang target pages do not point back to this URL.,"{""missing_reciprocal_targets"": [""https://void-agency.com/""]}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,54,0.9818,content-template,"article,homepage,legal,other"
35,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/foundation-repair,medium,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/foundation-repair""}",both,canonicalization,automated,95,Verified,27,1.0,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
